name,type,lat,lon,cuisine,source
SLV,restaurant,12.9153417,77.5948673,,OSM
Food Court,fast_food,12.9163528,77.5921287,,OSM
McDonald's,fast_food,12.9165527,77.5921175,burger,OSM
Shanthi Sagar,fast_food,12.9231515,77.5893938,regional,OSM
Niha Juice Center,fast_food,12.9608216,77.666002,juice,OSM
Megha Restaurant,restaurant,12.955452,77.697866,,OSM
Grill and Hog,fast_food,12.9215902,77.6512829,indian,OSM
McDonald's,fast_food,12.9354469,77.6154094,burger,OSM
Filling station,bar;pub;restaurant,12.9364031,77.6207917,,OSM
Nandhana Grand,restaurant,12.9362976,77.6213531,indian,OSM
Kolkata's,restaurant,12.963978,77.7487116,regional,OSM
Dim Sum,restaurant,12.9422358,77.6178071,chinese,OSM
Brews & Bites,cafe,12.9284331,77.5900599,,OSM
Shiv sagar,restaurant,12.9440288,77.5727582,,OSM
Cafe Coffee Day,cafe,12.944502,77.5728401,coffee_shop,OSM
Adyar Anand Bhavan,restaurant,12.9444313,77.5729353,,OSM
Cafe Coffee Day,cafe,13.0281022,77.5733848,coffee_shop,OSM
Corner House,cafe,13.0280073,77.5725777,ice_cream,OSM
Cafe Coffee Day,cafe,12.9973265,77.5403657,coffee_shop,OSM
New Shanti Sagar,restaurant,12.988545,77.5377868,,OSM
Lassi Park,cafe,12.9330961,77.5823147,ice_cream,OSM
New Sagar Fast Food,fast_food,13.0042469,77.550715,,OSM
Adigas,restaurant,12.943764,77.6071874,,OSM
Adaa Restaurant,restaurant,12.934104,77.6164798,indian,OSM
Willy Vanilli,restaurant,12.9368528,77.6203487,ice_cream,OSM
Chung wah,restaurant,12.9366057,77.6205137,chinese,OSM
Yelhanka Cafe Cofee Day,cafe,13.0992439,77.5880493,,OSM
Chandra cafe,fast_food,13.099742,77.588778,,OSM
Chickpet Donne Biriyani House,restaurant,13.0967578,77.5840299,,OSM
CornerHouse,restaurant,13.0989001,77.5876488,ice_cream,OSM
Sathyas Biriyani,restaurant,12.9363015,77.6151475,indian,OSM
Red fort restaurant,restaurant,12.9360411,77.6148636,,OSM
Bhojohori manna,restaurant,12.9373691,77.6243143,indian,OSM
Krishna Cafe,restaurant,12.9368986,77.6198954,,OSM
Imperial Hotel,restaurant,12.9364077,77.6250803,indian,OSM
heritage of Bengal,restaurant,12.9373234,77.624368,indian,OSM
Anand Sweets and Restaurant,restaurant,12.9369809,77.6197694,,OSM
Ocean restaurant,restaurant,12.9368711,77.6248696,international,OSM
KFC,fast_food,12.9823894,77.607536,chicken,OSM
Juice Burg Cafe,fast_food,12.9168527,77.6034541,,OSM
N.E Diner,restaurant,12.9348451,77.6128809,,OSM
Thanco Fresh Fruitz Ice-Creams,restaurant,12.9350385,77.6130633,ice_cream,OSM
Mangoa Coastal cuisine,restaurant,12.935577,77.6130901,seafood,OSM
Flambe,restaurant,12.9371352,77.619779,,OSM
Aangan restaurant,restaurant,12.9365549,77.6165979,,OSM
